video_id,video_url,entry_title,live_status,duration_seconds,view_count,saved_json_path,fetched_at
ocCIkZPBrHE,https://www.youtube.com/watch?v=ocCIkZPBrHE,[33/365] THE NEXT WORLD RESERVE CURRENCY,was_live,9839.0,193,data\raw\youtube\kenny-finance-streams\videos\ocCIkZPBrHE.json,2026-05-06T02:38:06.455001+00:00
KE0OcOIfYDg,https://www.youtube.com/watch?v=KE0OcOIfYDg,[32/365] PITCHING WEIRD STOCKS TO CHAT CAPITAL,was_live,10495.0,213,data\raw\youtube\kenny-finance-streams\videos\KE0OcOIfYDg.json,2026-05-06T02:38:06.455001+00:00
hSSpEemhi6E,https://www.youtube.com/watch?v=hSSpEemhi6E,[31/365] VIBE CODING A BILLION DOLLAR IDEA,was_live,22409.0,406,data\raw\youtube\kenny-finance-streams\videos\hSSpEemhi6E.json,2026-05-06T02:38:06.455001+00:00
vKFmjQ_J610,https://www.youtube.com/watch?v=vKFmjQ_J610,[30/365] RANKING TOP AI STOCKS OF 2025,was_live,13443.0,178,data\raw\youtube\kenny-finance-streams\videos\vKFmjQ_J610.json,2026-05-06T02:38:06.455001+00:00
DyUWPY8CXPs,https://www.youtube.com/watch?v=DyUWPY8CXPs,[29/365] APPLE'S EARNINGS TODAY,was_live,13995.0,236,data\raw\youtube\kenny-finance-streams\videos\DyUWPY8CXPs.json,2026-05-06T02:38:06.455001+00:00
0JCSOBK44O4,https://www.youtube.com/watch?v=0JCSOBK44O4,[28/365] TESLA'S BIG BET TODAY,was_live,12369.0,307,data\raw\youtube\kenny-finance-streams\videos\0JCSOBK44O4.json,2026-05-06T02:38:06.455001+00:00
0TjpA3J94BY,https://www.youtube.com/watch?v=0TjpA3J94BY,[27/365] WHAT JUST HAPPENED TO HEALTHCARE STOCKS,was_live,7926.0,275,data\raw\youtube\kenny-finance-streams\videos\0TjpA3J94BY.json,2026-05-06T02:38:06.455001+00:00
PPRZqW30cEk,https://www.youtube.com/watch?v=PPRZqW30cEk,[26/365] EXPLAINING THE GOLD RALLY,was_live,8632.0,177,data\raw\youtube\kenny-finance-streams\videos\PPRZqW30cEk.json,2026-05-06T02:38:06.455001+00:00
XcvmcWKRyDI,https://www.youtube.com/watch?v=XcvmcWKRyDI,[25/365] WHAT ACTUALLY HAPPENED AT DAVOS 2026 (WORLD ECONOMIC FORUM),was_live,10005.0,289,data\raw\youtube\kenny-finance-streams\videos\XcvmcWKRyDI.json,2026-05-06T02:38:06.455001+00:00
dXTFYZzWeIQ,https://www.youtube.com/watch?v=dXTFYZzWeIQ,[24/365] REACTING TO INTEL EARNINGS (AI BOOM OVER?),was_live,13571.0,350,data\raw\youtube\kenny-finance-streams\videos\dXTFYZzWeIQ.json,2026-05-06T02:38:06.455001+00:00
qbTg2jgR1Es,https://www.youtube.com/watch?v=qbTg2jgR1Es,[23/365] PITCHING STOCKS FOR CHAT CAPITAL TODAY,was_live,8966.0,154,data\raw\youtube\kenny-finance-streams\videos\qbTg2jgR1Es.json,2026-05-06T02:38:06.455001+00:00
